id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
50,Aston Villa,F,Davis,4.500,4.500,0.525,0.500,0.493,0.622,0.601,0.555,0.663,0.598
51,Aston Villa,F,Vassilev,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,Aston Villa,M,Douglas Luiz,5.000,5.000,2.547,2.040,2.151,2.339,2.297,2.049,2.333,2.180
53,Brighton,F,Murray,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,Brighton,M,Lallana,6.400,6.400,1.107,1.097,1.019,1.052,0.882,1.163,0.956,0.896
55,Brighton,M,Stephens,4.500,4.500,1.178,1.813,1.620,1.672,1.501,1.719,1.537,1.447
56,West Brom,G,Button,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.036,0.070,0.040
57,Brighton,M,Groß,5.900,5.900,1.277,1.148,1.118,1.166,0.881,1.093,1.165,0.830
58,Brighton,D,Duffy,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,Brighton,M,Pröpper,5.000,5.000,1.964,1.821,1.391,1.615,1.333,1.556,1.501,1.301
60,Brighton,M,Mooy,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,Brighton,D,Burn,4.500,4.500,1.520,1.685,2.132,2.608,1.388,2.448,2.018,1.032
62,Brighton,D,Dunk,5.000,5.000,2.332,2.544,3.098,3.778,1.983,3.543,2.869,1.353
63,Brighton,D,Montoya,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,Brighton,F,Andone,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,Brighton,M,March,5.000,5.000,1.510,1.516,1.774,1.943,1.464,1.726,1.766,1.543
66,Brighton,D,Webster,4.500,4.500,1.925,2.166,2.733,3.157,1.730,3.040,2.575,1.318
67,Brighton,D,Veltman,4.400,4.400,1.035,1.179,1.396,1.542,1.004,1.649,1.435,0.752
68,Brighton,F,Maupay,6.500,6.500,3.547,3.392,3.796,4.465,3.204,3.954,3.910,2.864
69,Brighton,M,Trossard,6.000,6.000,3.072,2.982,3.435,3.959,2.887,3.628,3.434,2.598
70,Brighton,G,Ryan,4.500,4.500,3.352,3.498,3.732,3.941,3.237,3.860,3.626,3.025
71,Brighton,M,Jahanbakhsh,5.500,5.500,0.424,0.378,0.421,0.476,0.415,0.400,0.627,0.430
72,Brighton,M,Izquierdo,5.500,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,Brighton,D,Clarke,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,Brighton,D,White,4.500,4.500,1.437,1.419,2.000,2.326,1.305,2.161,1.807,0.945
75,Brighton,D,Bernardo,4.000,4.000,0.366,0.286,0.279,0.417,0.295,0.536,0.419,0.293
76,Brighton,M,Bissouma,4.500,4.500,0.000,0.000,1.995,2.107,1.768,2.036,1.975,1.671
77,Brighton,D,Lamptey,4.500,4.500,1.713,2.479,3.206,3.750,2.026,3.483,2.982,1.489
78,Brighton,F,Connolly,5.500,5.500,2.046,1.985,2.117,2.510,1.989,2.386,2.127,1.778
79,Brighton,M,Alzate,4.500,4.500,2.100,1.866,1.772,1.938,1.606,1.828,1.757,1.530
80,Brighton,M,Mac Allister,5.400,5.400,0.709,0.605,0.513,0.735,0.615,0.622,0.601,0.519
81,Burnley,D,Tarkowski,5.500,5.500,2.234,3.060,3.173,2.263,1.817,2.628,3.351,0.738
82,Burnley,D,Bardsley,4.500,4.500,2.211,2.213,2.241,1.622,1.368,1.918,2.339,0.419
83,Burnley,D,Pieters,4.500,4.500,0.949,0.884,0.783,0.486,0.382,0.644,0.853,0.218
84,Burnley,M,Cork,5.000,5.000,0.000,0.000,1.349,1.673,1.973,2.074,2.287,1.761
85,Burnley,D,Long,4.500,4.500,2.517,2.428,1.970,1.209,0.919,1.253,1.495,0.384
86,Burnley,F,Rodriguez,6.000,6.000,3.037,2.726,2.739,2.217,2.058,2.179,2.476,1.904
87,Burnley,F,Barnes,6.000,6.000,0.215,1.203,1.697,2.040,1.716,2.011,2.213,1.537
88,Burnley,D,Mee,5.000,5.000,0.000,0.000,1.414,1.547,1.563,2.381,2.901,0.651
89,Burnley,M,Westwood,5.500,5.500,2.709,2.642,2.669,2.427,2.213,2.412,2.618,1.980
90,Burnley,M,Gudmundsson,5.500,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91,Burnley,F,Wood,6.500,6.500,3.976,3.899,4.084,3.461,3.081,3.472,3.907,2.679
92,Burnley,D,Lowton,4.500,4.500,0.522,0.652,0.722,0.534,0.380,0.667,0.875,0.206
93,Burnley,F,Vydra,5.000,5.000,1.058,0.846,0.777,0.530,0.579,0.805,0.835,0.566
94,Burnley,D,Gibson,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
95,Burnley,M,Brady,5.000,5.000,1.991,2.745,2.371,1.943,1.775,1.966,2.147,1.534
96,Burnley,G,Pope,5.500,5.500,3.687,3.699,3.735,3.330,3.160,3.505,3.780,3.143
97,Burnley,D,Taylor,4.500,4.500,2.492,2.562,2.648,1.910,1.558,2.256,2.781,0.601
98,Burnley,M,Brownhill,5.000,5.000,2.520,2.462,2.203,1.817,1.656,1.823,1.902,1.499
99,Burnley,G,Peacock-Farrell,4.000,4.000,0.000,0.000,0.042,0.000,0.000,0.040,0.130,0.071
100,Burnley,M,McNeil,6.000,6.000,3.045,2.969,3.041,2.753,2.491,2.745,3.001,2.196
101,Chelsea,G,Caballero,5.000,5.000,0.143,0.201,0.231,0.039,0.095,0.147,0.188,0.128
102,Chelsea,D,Azpilicueta,5.900,5.900,2.709,3.078,2.712,1.620,2.634,2.651,2.607,2.238
103,Chelsea,F,Giroud,6.900,6.900,1.380,1.314,1.122,0.924,1.106,1.120,1.179,1.184
104,Chelsea,D,Alonso,6.000,6.000,1.026,1.541,1.242,0.868,1.383,1.566,1.426,1.202
105,Chelsea,M,Jorginho,5.000,5.000,2.637,2.782,2.450,2.032,2.535,2.595,2.505,2.153
106,Chelsea,M,Barkley,6.000,6.000,1.151,0.946,0.791,0.608,0.735,0.800,0.789,0.694
107,Chelsea,M,Kovacic,5.500,5.500,1.442,1.337,1.451,1.028,1.162,1.148,1.266,1.233
108,Crystal Palace,F,Batshuayi,5.900,5.900,1.890,1.469,1.887,1.736,1.569,1.646,1.676,1.790
109,Chelsea,D,Rüdiger,4.900,4.900,1.021,1.216,0.932,0.641,1.242,1.211,0.997,1.021
110,Chelsea,D,Zouma,5.000,5.000,2.998,3.108,2.735,1.803,2.778,2.867,2.695,2.296
