id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
250,Liverpool,D,van Dijk,6.500,6.500,4.075,4.622,3.927,4.768,4.610,1.946,3.899,4.113
251,Liverpool,M,Mané,11.900,11.900,5.789,6.762,5.422,6.331,6.652,4.121,5.769,5.669
252,Liverpool,G,Alisson,6.000,6.000,3.906,4.206,3.969,4.446,4.146,3.122,3.879,4.031
253,Liverpool,M,Fabinho,5.500,5.500,1.780,1.839,1.711,1.929,1.700,1.389,1.686,1.678
254,Liverpool,M,Salah,12.100,12.000,6.896,8.012,6.348,7.421,7.973,4.912,6.974,6.794
255,Liverpool,D,Robertson,7.000,7.000,4.318,5.027,4.194,5.096,4.925,2.156,4.197,4.399
256,Liverpool,F,Origi,5.400,5.400,0.613,0.598,0.629,0.704,0.748,0.551,0.753,0.811
257,Liverpool,M,Harry Wilson,5.400,5.400,0.000,0.067,0.057,0.064,0.068,0.048,0.123,0.122
258,Liverpool,M,Minamino,6.300,6.300,0.470,0.720,0.610,0.752,0.794,0.706,0.901,0.955
259,Liverpool,D,Alexander-Arnold,7.500,7.500,4.392,5.112,4.239,5.177,5.030,2.174,4.265,4.460
260,Liverpool,D,Gomez,5.500,5.500,2.546,3.807,3.065,3.499,3.295,1.391,2.818,2.935
261,Liverpool,M,Keita,5.400,5.400,2.368,2.274,1.913,2.334,2.454,1.741,2.210,2.219
262,Liverpool,F,Brewster,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.058,0.146,0.144
263,Liverpool,M,Jones,4.500,4.500,0.104,0.057,0.099,0.055,0.116,0.129,0.160,0.213
264,Liverpool,D,Williams,4.000,4.000,0.377,0.273,0.328,0.397,0.284,0.198,0.421,0.407
265,Liverpool,M,Elliott,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
266,Man City,D,Fernandinho,5.500,5.500,3.205,2.872,2.442,2.652,2.627,1.697,1.953,3.075
267,Man City,G,Bravo,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
268,Man City,F,Agüero,10.400,10.400,0.000,0.000,1.636,2.955,3.129,2.764,2.944,4.161
269,Man City,D,Otamendi,5.000,5.000,1.329,0.632,0.461,0.517,0.538,0.344,0.422,0.603
270,Man City,D,Walker,6.000,6.000,3.467,3.372,3.026,3.257,3.413,2.028,2.468,3.718
271,Man City,M,Gündogan,5.500,5.500,0.000,0.917,1.154,1.592,1.588,1.359,1.462,1.832
272,Man City,M,De Bruyne,11.600,11.600,6.454,6.126,5.768,6.193,5.713,4.705,5.143,6.508
273,Man City,D,Stones,5.000,5.000,2.315,1.646,1.238,1.425,1.399,1.063,1.255,1.824
274,Man City,D,Mendy,6.000,6.000,3.881,3.876,2.757,2.574,2.487,1.536,2.021,2.685
275,Man City,M,Mahrez,8.500,8.500,4.277,4.148,3.944,4.265,3.965,3.300,3.640,4.586
276,Man City,M,Sterling,11.500,11.500,6.028,5.758,5.534,5.933,5.557,4.521,4.956,6.352
277,Man City,D,Cancelo,5.500,5.500,0.000,0.000,0.829,1.422,1.835,1.253,1.514,2.313
278,Man City,G,Ederson,6.000,6.000,3.949,3.921,3.707,3.877,4.066,3.278,3.500,4.252
279,Man City,D,Aké,5.500,5.500,2.619,2.273,1.822,2.084,2.139,1.372,1.578,2.288
280,Man City,D,Laporte,6.000,6.000,1.210,2.127,2.413,2.657,2.766,1.715,2.085,3.002
281,Man City,M,Bernardo Silva,7.500,7.500,0.000,0.000,1.285,2.385,3.056,2.524,2.722,3.430
282,Man City,F,Jesus,9.500,9.500,5.541,5.280,5.100,5.440,4.973,4.259,4.598,5.733
283,Man City,D,Zinchenko,5.500,5.500,0.000,0.000,0.446,0.845,0.876,0.643,0.782,0.980
284,Man City,M,Foden,6.500,6.500,4.092,4.232,4.049,4.441,4.064,3.362,3.674,4.610
285,Man City,M,Doyle,4.500,4.500,0.272,0.225,0.104,0.055,0.053,0.046,0.050,0.118
286,Man City,M,Rodrigo,5.500,5.500,2.784,2.589,2.552,2.592,2.549,2.203,2.352,2.647
287,Man City,M,Torres,7.000,7.000,1.713,1.739,1.511,1.252,1.241,1.111,1.158,1.482
288,Man City,D,Garcia,5.000,5.000,0.729,1.510,1.178,1.158,1.309,0.784,1.166,1.466
289,Man Utd,G,Romero,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
290,Man Utd,M,Mata,6.000,6.000,0.413,0.365,0.387,0.435,0.515,0.499,0.757,0.626
291,Man Utd,G,de Gea,5.500,5.500,3.716,3.587,3.894,3.307,3.398,3.556,4.059,3.534
292,Man Utd,D,Smalling,5.000,5.000,0.042,0.115,0.182,0.166,0.186,0.313,0.358,0.326
293,Man Utd,F,Ighalo,6.500,6.500,0.460,0.423,0.567,0.505,0.537,0.565,0.637,0.694
294,Man Utd,D,Rojo,5.000,5.000,0.000,0.000,0.044,0.031,0.035,0.074,0.149,0.039
295,Man Utd,M,Matic,5.000,5.000,1.300,1.223,1.461,1.135,1.183,1.264,1.336,1.235
296,Man Utd,M,Pogba,8.000,8.000,2.423,2.491,2.579,2.275,2.402,2.280,2.920,2.386
297,Man Utd,D,Jones,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
298,Man Utd,D,Maguire,5.500,5.500,3.764,3.321,3.927,2.710,3.057,3.196,4.338,3.272
299,Man Utd,M,Fred,5.500,5.500,0.852,0.884,0.852,0.930,0.944,0.891,1.104,0.956
300,Man Utd,D,Shaw,5.000,5.000,3.364,3.052,3.671,2.500,2.844,2.947,4.081,3.024
301,Man Utd,M,Lingard,6.000,6.000,0.203,0.254,0.270,0.282,0.302,0.340,0.432,0.356
302,Man Utd,M,Fernandes,10.500,10.500,5.127,4.994,5.397,4.447,4.839,4.553,6.193,4.741
303,Man Utd,F,Martial,9.000,9.000,4.497,4.450,4.694,4.029,4.316,4.037,5.307,4.186
304,Man Utd,M,Pereira,5.000,5.000,0.047,0.097,0.151,0.089,0.143,0.138,0.234,0.192
305,Man Utd,G,Henderson,5.500,5.500,0.177,0.126,0.185,0.199,0.290,0.172,0.296,0.306
306,Man Utd,M,Rashford,9.500,9.500,4.968,4.809,5.205,4.259,4.617,4.354,5.933,4.583
307,Man Utd,D,Tuanzebe,4.500,4.500,0.000,0.000,0.000,0.000,0.035,0.000,0.049,0.077
308,Man Utd,D,Lindelöf,5.000,5.000,3.276,2.916,3.497,2.364,2.682,2.799,3.713,2.890
309,Man Utd,M,McTominay,5.000,5.000,1.373,1.285,1.374,1.168,1.384,1.416,1.615,1.368
310,Man Utd,D,Bailly,5.000,5.000,0.206,0.268,0.460,0.457,0.520,0.426,0.793,0.775
311,Man Utd,M,James,6.500,6.500,1.330,1.414,1.661,1.270,1.493,1.485,1.889,1.601
312,Man Utd,D,Fosu-Mensah,4.500,4.500,0.088,0.163,0.241,0.176,0.277,0.328,0.381,0.300
313,Man Utd,D,Wan-Bissaka,5.500,5.500,3.468,3.098,3.704,2.554,2.877,3.013,4.060,3.120
314,Man Utd,D,Dalot,5.000,5.000,0.000,0.043,0.051,0.074,0.084,0.043,0.235,0.091
315,Man Utd,M,Greenwood,7.500,7.500,3.425,3.334,3.516,2.993,3.235,3.101,3.906,3.219
316,Man Utd,M,Chong,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
317,Man Utd,M,Garner,4.500,4.500,0.000,0.045,0.048,0.042,0.044,0.043,0.054,0.090
318,Man Utd,D,Williams,4.500,4.500,0.174,0.322,0.338,0.273,0.391,0.363,0.616,0.467
319,Man Utd,D,Mengi,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
320,Newcastle,F,Carroll,5.500,5.500,1.803,2.237,1.779,1.836,1.927,1.905,1.634,2.069
321,Newcastle,M,Shelvey,5.500,5.500,2.140,2.631,1.966,2.186,2.337,2.254,2.089,2.311
322,Newcastle,M,Ritchie,5.000,5.000,1.445,1.155,0.962,0.956,1.082,1.140,1.199,1.155
323,Newcastle,D,Fernández,5.000,5.000,1.725,3.176,1.750,2.151,2.383,2.154,1.601,2.580
324,Newcastle,D,Clark,4.500,4.500,0.248,0.535,0.293,0.323,0.427,0.425,0.328,0.509
325,Newcastle,G,Darlow,5.000,5.000,3.122,3.761,1.664,0.911,0.117,0.114,0.143,0.162
326,Newcastle,G,Dubravka,5.000,5.000,0.000,0.000,1.654,2.472,3.417,3.334,3.075,3.514
327,Newcastle,D,Lejeune,4.400,4.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
328,Newcastle,D,Lascelles,4.500,4.500,1.638,3.046,1.719,2.052,2.322,2.098,1.516,2.450
329,Newcastle,F,Gayle,5.900,5.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
330,Newcastle,M,Atsu,5.400,5.400,0.037,0.000,0.000,0.000,0.000,0.039,0.000,0.000
331,Newcastle,D,Dummett,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
332,Newcastle,D,Manquillo,4.500,4.500,1.556,2.855,1.657,1.981,2.087,1.917,1.473,2.346
333,Newcastle,D,Krafth,4.400,4.400,0.269,0.354,0.265,0.319,0.352,0.298,0.323,0.422
334,Newcastle,D,Schär,4.900,4.900,0.000,0.000,0.277,0.553,0.781,0.773,0.655,0.933
335,Newcastle,D,Yedlin,4.400,4.400,0.366,0.461,0.279,0.363,0.436,0.516,0.290,0.547
336,Newcastle,M,Hayden,5.000,5.000,1.726,1.910,1.750,1.637,1.653,1.617,1.634,1.703
337,Newcastle,M,Aarons,5.000,5.000,0.000,0.042,0.000,0.036,0.077,0.038,0.036,0.040
338,Newcastle,M,Saint-Maximin,5.500,5.500,1.819,2.836,2.318,2.324,2.478,2.431,2.224,2.547
339,Newcastle,M,Almirón,6.000,6.000,2.271,2.778,2.260,2.141,2.416,2.445,2.123,2.436
340,Newcastle,F,Joelinton,5.900,5.900,1.297,1.458,1.248,1.283,1.352,1.337,1.406,1.572
341,Newcastle,F,Muto,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
342,Newcastle,D,Watts,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
343,Sheffield Utd,F,Sharp,6.000,6.000,1.951,1.730,2.128,1.602,1.665,1.612,2.237,2.405
344,Sheffield Utd,F,McGoldrick,5.400,5.400,3.012,2.339,3.292,2.066,2.228,2.168,2.915,2.822
345,Sheffield Utd,D,Basham,5.000,5.000,2.671,1.879,3.539,1.087,1.047,1.461,2.604,2.846
346,Sheffield Utd,M,Fleck,6.000,6.000,2.442,2.030,2.664,1.874,1.947,1.971,2.401,2.351
347,Sheffield Utd,D,Stevens,5.500,5.500,3.301,2.275,4.276,1.405,1.375,1.816,3.366,3.454
348,Sheffield Utd,G,Moore,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
349,Sheffield Utd,M,Norwood,5.000,5.000,2.554,2.150,2.958,1.995,2.081,2.021,2.586,2.555
350,Sheffield Utd,G,Foderingham,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
351,Sheffield Utd,D,Baldock,5.500,5.500,2.999,2.092,3.888,1.262,1.207,1.642,3.066,3.086
352,Sheffield Utd,D,Jack Robinson,4.500,4.500,0.862,0.098,0.348,0.097,0.141,0.208,0.365,0.460
353,Sheffield Utd,D,Egan,5.000,5.000,0.000,2.211,4.025,1.362,1.347,1.725,3.201,3.256
354,Sheffield Utd,D,O'Connell,5.000,5.000,2.705,1.926,3.445,1.175,1.104,1.530,2.823,2.812
355,Sheffield Utd,M,Lundstram,5.500,5.500,2.674,2.190,2.919,1.979,1.979,1.938,2.520,2.707
356,Sheffield Utd,M,Osborn,5.000,5.000,0.427,0.553,0.714,0.673,0.756,0.763,0.902,0.984
357,Sheffield Utd,F,McBurnie,5.900,5.900,3.322,2.685,3.564,2.368,2.504,2.449,3.129,3.057
358,West Brom,F,Callum Robinson,5.500,5.500,1.902,2.012,2.115,1.908,2.195,1.950,1.791,2.173
359,Sheffield Utd,F,Mousset,5.900,5.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
360,Sheffield Utd,M,Berge,5.000,5.000,2.223,1.990,2.380,1.688,1.779,1.867,2.318,2.238
361,Southampton,F,Long,5.400,5.400,1.507,1.647,1.204,1.543,1.737,1.779,1.391,1.480
362,Southampton,D,Bertrand,5.000,5.000,3.567,4.002,1.867,3.065,3.186,3.628,2.570,2.181
363,Southampton,G,McCarthy,4.500,4.500,3.763,4.022,3.148,3.656,3.658,3.851,3.428,3.171
364,Southampton,M,Oriol Romeu,4.500,4.500,2.116,2.317,1.781,2.000,2.097,2.142,1.873,1.813
365,Southampton,M,Redmond,6.400,6.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
366,Southampton,F,Ings,8.400,8.400,4.562,5.223,3.449,4.176,4.600,4.740,3.552,3.636
367,Southampton,D,Stephens,5.000,5.000,2.716,2.922,1.432,2.216,2.323,2.780,1.943,1.535
368,Southampton,M,Armstrong,5.500,5.500,2.700,2.984,2.157,2.526,2.606,2.782,2.274,2.248
369,Southampton,D,Vestergaard,4.500,4.500,1.600,1.695,0.716,1.294,1.432,1.544,1.136,1.004
370,Southampton,M,Ward-Prowse,5.900,5.900,3.386,3.743,2.630,3.026,3.310,3.500,2.764,2.714
371,Southampton,G,Gunn,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037
372,Southampton,M,Boufal,5.400,5.400,0.716,0.848,0.746,0.811,0.878,0.956,0.748,0.875
373,Fulham,M,Reed,4.500,4.500,2.305,1.885,1.997,2.147,2.186,1.980,1.933,1.824
374,Southampton,M,Sims,4.500,4.500,0.086,0.142,0.147,0.247,0.265,0.228,0.192,0.272
375,Southampton,D,Walker-Peters,4.500,4.500,3.125,3.564,1.653,2.729,2.833,3.257,2.329,1.930
376,Southampton,D,Bednarek,4.500,4.500,2.410,2.486,1.193,1.951,2.004,2.281,1.762,1.471
377,Southampton,F,Adams,5.900,5.900,3.779,4.247,2.884,3.467,3.840,3.902,3.002,3.097
378,Southampton,D,Valery,4.900,4.900,0.197,0.450,0.183,0.286,0.420,0.564,0.418,0.382
379,Southampton,M,Smallbone,4.500,4.500,1.297,1.383,1.237,1.427,1.509,1.569,1.275,1.375
380,Southampton,D,Vokins,4.000,4.000,0.000,0.045,0.046,0.071,0.187,0.170,0.224,0.163
381,Southampton,F,Obafemi,5.000,5.000,0.508,0.703,0.503,0.648,0.709,0.669,0.627,0.793
382,Southampton,M,Djenepo,5.500,5.500,2.880,3.372,2.308,2.593,2.864,3.003,2.508,2.361
383,Spurs,G,Lloris,5.500,5.500,4.290,3.368,3.953,3.962,4.015,3.943,3.071,3.181
384,Spurs,D,Rose,4.900,4.900,0.000,0.000,0.040,0.000,0.000,0.000,0.019,0.024
385,Spurs,M,Sissoko,4.900,4.900,1.331,0.888,1.236,1.201,1.193,1.171,1.045,0.995
386,Spurs,D,Alderweireld,5.500,5.500,2.827,1.571,2.616,2.582,2.724,2.637,1.077,1.420
387,Spurs,M,Lamela,5.900,5.900,0.707,0.433,0.509,0.372,0.387,0.459,0.387,0.429
388,Spurs,F,Kane,10.500,10.500,6.410,4.354,5.915,5.399,5.577,5.732,4.053,3.976
389,Spurs,D,Aurier,5.300,5.300,0.201,0.191,0.356,0.352,0.459,0.507,0.264,0.284
390,Spurs,M,Son,9.000,9.000,5.565,3.794,5.210,4.784,4.925,5.071,3.539,3.482
391,Spurs,D,Dier,5.000,5.000,3.482,1.825,3.017,2.963,3.088,3.051,1.261,1.661
392,Spurs,M,Lucas Moura,7.000,7.000,3.070,1.778,2.221,1.832,1.848,2.074,1.470,1.553
393,Spurs,G,Gazzaniga,4.500,4.500,0.000,0.037,0.000,0.044,0.045,0.044,0.035,0.036
394,Spurs,M,Alli,7.800,7.800,3.163,2.054,3.018,2.681,2.624,2.872,1.902,2.031
395,Spurs,D,Davies,5.000,5.000,2.946,1.079,1.842,1.872,1.905,1.823,0.571,0.755
396,Spurs,M,Højbjerg,5.000,5.000,2.514,1.924,2.253,2.116,2.136,2.271,1.878,1.823
397,Spurs,M,Winks,5.500,5.500,1.650,1.345,1.557,1.611,1.682,1.534,1.234,1.252
398,Spurs,D,Sánchez,5.500,5.500,2.276,1.190,1.844,1.972,2.000,2.044,0.898,1.177
399,Spurs,D,Sessegnon,4.900,4.900,0.163,0.062,0.097,0.048,0.099,0.151,0.073,0.117
400,Spurs,M,Bergwijn,7.300,7.300,2.019,1.202,1.601,1.393,1.395,1.496,1.103,1.183
401,Spurs,M,Fernandes,4.900,4.900,0.000,0.000,0.000,0.000,0.043,0.044,0.036,0.073
402,Spurs,D,Tanganga,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
403,Spurs,M,Lo Celso,6.900,6.900,2.546,1.988,2.382,2.354,2.516,2.680,1.889,1.838
404,Spurs,M,Skipp,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
405,Spurs,M,Ndombele,6.000,6.000,0.507,0.582,0.568,0.554,0.605,0.571,0.539,0.573
406,Spurs,D,Foyth,4.500,4.500,0.000,0.028,0.043,0.086,0.090,0.135,0.042,0.079
407,West Brom,D,Gibbs,4.500,4.500,0.000,0.000,2.715,2.194,2.616,1.639,1.218,2.589
408,West Brom,F,Robson-Kanu,5.400,5.400,1.455,1.503,1.857,1.634,1.817,1.488,1.412,1.683
409,West Brom,M,Livermore,5.000,5.000,2.109,2.268,2.407,2.283,2.362,2.122,1.918,2.245
410,West Brom,M,Grosicki,5.400,5.400,0.167,0.294,0.385,0.217,0.333,0.254,0.308,0.318
411,West Brom,M,Phillips,5.400,5.400,0.571,0.560,0.688,0.572,0.729,0.600,0.541,0.650
412,West Brom,D,Bartley,4.500,4.500,1.444,1.776,2.270,1.866,2.226,1.526,0.986,2.182
413,West Brom,M,Sawyers,5.000,5.000,2.107,2.060,2.210,2.063,2.165,1.974,1.826,2.076
414,West Brom,D,Hegazi,4.400,4.400,0.549,1.366,1.951,1.509,1.649,1.247,0.859,1.804
415,West Brom,F,Austin,5.400,5.400,0.537,0.702,0.732,0.709,0.731,0.741,0.740,0.806
416,West Brom,F,Zohore,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
417,West Brom,G,Johnstone,4.500,4.500,3.120,3.292,3.582,3.272,3.449,3.081,2.968,3.396
418,West Brom,D,Townsend,4.500,4.500,1.286,1.567,0.506,0.385,0.452,0.471,0.285,0.450
419,West Brom,D,Ajayi,4.900,4.900,1.811,2.362,3.126,2.581,2.947,2.030,1.356,2.832
420,West Brom,M,Leko,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
421,West Brom,M,Edwards,5.000,5.000,0.630,0.741,0.767,0.895,0.880,0.804,0.740,0.967
422,West Brom,D,Furlong,4.500,4.500,0.697,0.875,1.039,0.785,0.861,0.689,0.510,0.987
423,West Brom,M,Field,4.900,4.900,0.365,0.505,0.588,0.591,0.549,0.480,0.610,0.610
424,Sheffield Utd,M,Burke,4.500,4.500,1.491,1.288,1.753,1.204,1.257,1.120,1.593,1.601
425,West Brom,D,O'Shea,4.500,4.500,1.387,1.844,2.290,1.886,2.251,1.446,1.023,2.197
426,West Brom,M,Harper,4.500,4.500,1.161,1.278,1.403,1.283,1.394,1.286,1.145,1.300
427,West Ham,M,Noble,4.900,4.900,0.995,1.924,1.919,1.688,1.756,2.599,1.984,2.613
428,West Ham,M,Snodgrass,5.900,5.900,0.836,0.828,0.894,0.760,0.825,1.337,0.964,1.299
429,West Ham,G,Martin,4.000,4.000,0.000,0.000,0.000,0.034,0.000,0.043,0.039,0.041
430,West Ham,G,Randolph,4.500,4.500,0.000,0.073,0.036,0.035,0.070,0.133,0.081,0.083
431,West Ham,G,Fabianski,5.000,5.000,3.534,3.239,3.193,3.113,3.086,3.820,3.540,3.639
432,West Ham,D,Ogbonna,5.000,5.000,2.661,2.024,1.822,0.989,0.992,3.357,2.541,2.929
433,West Ham,G,Roberto,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
434,West Ham,M,Wilshere,4.900,4.900,0.380,0.419,0.434,0.445,0.428,0.676,0.609,0.742
435,West Ham,D,Cresswell,5.000,5.000,2.516,1.928,1.737,0.975,0.999,3.134,2.394,2.831
436,West Ham,M,Yarmolenko,5.900,5.900,0.463,0.459,0.494,0.501,0.515,0.773,0.634,0.754
437,West Ham,F,Antonio,6.400,6.400,3.672,3.547,3.460,3.095,2.883,4.457,3.597,4.411
438,West Ham,D,Fredericks,4.500,4.500,2.578,1.960,1.762,0.943,0.940,3.208,2.440,2.912
439,West Ham,M,Lanzini,6.500,6.500,0.678,0.531,0.612,0.528,0.543,0.753,0.666,0.844
440,West Ham,M,Felipe Anderson,6.400,6.400,2.060,1.764,1.765,1.745,1.434,2.383,2.004,2.216
441,West Ham,F,Haller,6.300,6.300,0.717,0.701,0.782,0.819,0.729,1.251,0.992,1.055
442,West Ham,D,Masuaku,4.500,4.500,1.377,0.882,0.725,0.371,0.379,1.334,1.033,1.319
443,West Ham,D,Balbuena,4.500,4.500,2.535,1.497,1.204,0.581,0.617,2.123,1.563,1.835
444,West Ham,F,Hugill,5.500,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
445,West Ham,M,Bowen,6.400,6.400,2.045,1.940,1.788,1.737,1.602,2.128,1.903,2.157
446,West Brom,M,Diangana,5.500,5.500,2.023,2.150,2.380,2.178,2.370,2.214,1.977,2.278
447,West Ham,F,Ajeti,5.500,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
448,West Ham,M,Rice,5.000,5.000,2.463,2.292,2.223,2.089,2.005,2.621,2.301,2.475
449,West Ham,M,Soucek,5.000,5.000,2.583,2.433,2.363,2.136,2.085,2.869,2.451,2.714
450,West Ham,M,Fornals,6.400,6.400,2.066,1.855,1.794,1.688,1.682,2.121,1.883,1.953
451,West Ham,D,Diop,4.500,4.500,0.000,0.960,1.245,0.915,0.920,3.226,2.359,2.753
452,West Ham,D,Johnson,4.000,4.000,0.385,0.303,0.255,0.143,0.161,0.533,0.493,0.525
453,Wolves,G,Ruddy,4.500,4.500,0.000,0.049,0.000,0.000,0.048,0.080,0.000,0.039
454,Wolves,M,Moutinho,5.500,5.500,2.782,2.997,2.539,2.837,2.806,2.303,2.591,2.259
455,Wolves,G,Patrício,5.500,5.500,3.949,4.338,3.749,4.222,4.228,3.448,3.923,3.336
456,Wolves,D,Bennett,4.500,4.500,0.536,0.762,0.561,0.679,0.785,0.625,0.850,0.658
457,Spurs,D,Doherty,6.000,6.000,4.403,2.532,4.167,4.062,4.155,4.199,1.810,2.231
458,Wolves,D,Boly,5.500,5.500,3.660,4.430,3.195,4.043,4.132,2.699,3.501,2.422
459,Wolves,D,Coady,5.000,5.000,3.263,3.907,2.737,3.585,3.623,2.409,3.105,2.090
460,Wolves,F,Jiménez,8.500,8.500,4.641,5.168,4.292,4.760,4.676,3.837,4.279,3.622
461,Wolves,D,Saïss,5.100,5.100,3.543,4.365,3.130,4.061,4.088,2.640,3.428,2.301
462,Wolves,D,Jonny,5.500,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
463,Wolves,F,Bonatini,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
464,Wolves,M,Dendoncker,5.000,5.000,2.118,2.512,2.192,2.473,2.415,2.115,2.188,1.995
465,Wolves,M,Traoré,6.500,6.500,3.088,3.475,2.796,3.177,3.131,2.522,2.890,2.411
466,Wolves,M,Neves,5.500,5.500,2.544,2.843,2.383,2.652,2.690,2.259,2.478,2.123
467,Wolves,D,Buur,4.000,4.000,0.954,1.309,1.008,1.157,1.130,0.862,1.116,0.818
468,Liverpool,M,Jota,6.300,6.300,0.531,0.676,0.700,0.892,1.137,1.027,1.396,1.384
469,Wolves,M,Podence,5.500,5.500,3.475,4.316,3.479,3.912,3.844,3.114,3.548,2.924
470,Wolves,D,Kilman,4.000,4.000,0.116,0.140,0.140,0.223,0.273,0.220,0.240,0.231
471,Wolves,D,Vinagre,4.400,4.400,2.192,2.627,1.942,2.492,2.530,1.687,2.217,1.532
472,Wolves,G,Sarkic,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
473,Wolves,M,Gibbs-White,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
474,Wolves,M,Neto,5.500,5.500,3.613,4.082,3.407,3.808,3.808,3.026,3.498,2.850
475,Wolves,M,Jordao,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
476,Wolves,F,Campana,5.000,5.000,0.302,0.428,0.433,0.514,0.461,0.407,0.492,0.525
477,Sheffield Utd,M,Freeman,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
478,Arsenal,M,Willian,8.100,8.100,2.066,3.041,2.114,2.795,2.313,3.244,2.685,2.796
479,Southampton,D,Salisu,4.400,4.400,0.039,0.768,0.436,0.724,0.841,1.093,0.851,0.655
480,Newcastle,M,Sean Longstaff,4.900,4.900,0.611,0.758,0.661,0.660,0.704,0.695,0.584,0.807
481,West Brom,M,Pereira,6.000,6.000,2.836,2.743,3.296,2.778,3.162,2.719,2.374,2.918
482,Spurs,G,Hart,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.037
483,Sheffield Utd,G,Ramsdale,5.000,5.000,3.602,3.242,4.102,3.067,3.047,3.065,3.665,3.700
484,Fulham,D,Robinson,4.400,4.400,0.000,0.025,0.086,0.068,0.105,0.079,0.136,0.127
485,Newcastle,M,Hendrick,5.000,5.000,1.489,1.485,1.292,1.270,1.376,1.256,1.278,1.491
486,Crystal Palace,D,Dann,4.500,4.500,1.216,0.758,1.359,1.537,1.150,1.488,1.519,1.695
487,Newcastle,M,Matty Longstaff,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.034,0.066,0.071
488,Newcastle,G,Gillespie,4.500,4.500,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000
489,Crystal Palace,M,Eze,6.000,6.000,1.258,1.067,1.391,1.491,1.273,1.384,1.395,1.552
490,Chelsea,D,Thiago Silva,5.500,5.500,2.094,2.099,2.067,1.364,1.964,2.204,2.112,1.655
491,Leeds,D,Koch,4.500,4.500,2.592,1.144,2.473,2.617,2.118,2.626,1.976,2.004
492,Leeds,F,Rodrigo,5.900,5.900,2.285,1.790,2.119,2.497,2.246,2.112,2.054,2.009
493,Fulham,M,Lemina,4.500,4.500,0.209,0.189,0.263,0.244,0.394,0.332,0.327,0.349
494,Arsenal,D,Gabriel,5.100,5.100,1.460,3.635,1.156,2.697,1.867,3.223,2.557,2.840
495,Man Utd,M,van de Beek,7.000,7.000,1.315,1.353,1.546,1.301,1.342,1.341,1.875,1.549
496,Aston Villa,D,Cash,5.000,5.000,2.068,0.851,1.344,1.873,1.853,1.213,2.007,1.645
497,Newcastle,M,Murphy,5.000,5.000,0.081,0.099,0.083,0.083,0.089,0.176,0.041,0.093
498,Leicester,D,Castagne,5.600,5.600,1.149,3.540,3.557,2.020,2.494,2.781,1.084,1.776
499,West Brom,D,Kipre,4.500,4.500,0.145,0.129,0.138,0.142,0.199,0.094,0.051,0.263
500,Chelsea,M,Havertz,8.400,8.400,5.225,4.491,4.269,3.273,4.186,4.183,4.147,3.790
501,Arsenal,M,Ceballos,5.000,5.000,1.852,2.256,1.800,2.115,1.826,2.463,2.074,2.004
502,Everton,M,Allan,5.500,5.500,2.492,2.444,2.021,2.154,2.320,2.114,2.396,2.182
